first_name,last_name,full_name,team,year,player,position,r1_price,r2_price,r3_price,r4_price,r5_price,r6_price,r7_price,r8_price,r9_price,r10_price,r11_price,r12_price,r13_price,r14_price,r15_price,r16_price,r17_price,r18_price,r19_price,r20_price,r21_price,r22_price,r23_price,r1_score,r2_score,r3_score,r4_score,r5_score,r6_score,r7_score,r8_score,r9_score,r10_score,r11_score,r12_score,r13_score,r14_score,r15_score,r16_score,r17_score,r18_score,r19_score,r20_score,r21_score,r22_score,r23_score
Tom,Atkins,Tom Atkins,Geelong,2021,Tom_Atkins_Geelong_2021,FWD,293500,293500,293500,335400,375500,383100,399200,404400,412200,404700,382600,366200,366200,336900,327900,323000,357700,389000,405900,394100,394100,394100,368200,82,107,78,102,57,103,90,65,74,52,66,0,35,74,73,121,89,62,63,0,0,0,58
Tom,Barrass,Tom Barrass,West Coast,2021,Tom_Barrass_West Coast_2021,DEF,447200,447200,447200,458100,452300,440900,419000,419000,419000,387200,361000,356000,365200,372600,372600,397600,420100,429400,429400,429400,429400,429400,392100,117,100,70,85,84,41,0,0,53,77,75,81,80,0,115,89,66,0,0,0,0,73,63
Tom,Berry,Tom Berry,Brisbane Lions,2021,Tom_Berry_Brisbane Lions_2021,FWD,235500,235500,235500,235500,242700,222300,191900,191900,191900,191900,191900,191900,191900,191900,191900,191900,191900,191900,191900,191900,191900,156800,156800,0,68,56,30,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Tom,Campbell,Tom Campbell,North Melbourne,2021,Tom_Campbell_North Melbourne_2021,RUC FWD,154700,154700,154700,154700,154700,154700,164000,193100,241300,293200,331700,333100,333100,333100,333100,333100,333100,333100,333100,333100,333100,308400,308400,0,0,0,21,41,50,73,101,88,73,41,0,0,0,0,0,0,0,0,0,29,0,0
Tom,Clurey,Tom Clurey,Port Adelaide,2021,Tom_Clurey_Port Adelaide_2021,DEF,335500,335500,335500,337800,343700,361400,380600,386800,396200,367900,367900,367900,367900,367900,367900,367900,367900,349300,349300,349300,349300,349300,321400,81,53,68,90,83,83,75,93,4,0,0,0,0,0,0,0,79,0,0,0,0,65,0
Tom,Cole,Tom Cole,West Coast,2021,Tom_Cole_West Coast_2021,DEF,364600,364600,364600,356300,330500,320200,304100,284200,266300,258400,252700,254200,257100,264400,264400,268000,279900,282500,295000,295100,298600,293900,285200,100,36,59,55,56,41,39,48,54,39,62,57,52,0,55,77,40,81,54,49,65,65,30
Tom,Cutler,Tom Cutler,Essendon,2021,Tom_Cutler_Essendon_2021,MID,364700,364700,364700,364700,364700,364700,364700,364700,364700,364700,364700,364700,364700,364700,364700,364700,317900,305800,313400,320100,313900,319300,349900,0,26,33,0,0,0,0,0,0,0,0,0,0,0,0,49,79,73,49,55,96,58,101
Tom,De Koning,Tom De Koning,Carlton,2021,Tom_De Koning_Carlton_2021,RUC FWD,305500,305500,305500,305500,305500,305500,305500,305500,305500,305500,305500,305500,296200,296200,281200,262400,255400,272900,304600,340100,336200,307100,291200,0,0,0,0,0,0,0,0,0,55,58,48,0,32,43,63,85,88,88,18,29,74,97
Tom,Doedee,Tom Doedee,Adelaide,2021,Tom_Doedee_Adelaide_2021,DEF,457900,457900,457900,451400,454500,461200,465900,462500,451200,462500,462700,465700,452300,436700,436700,413300,399400,379600,379600,389300,409400,449400,432200,97,91,66,114,101,67,102,80,113,83,88,76,72,0,56,83,53,0,111,114,111,62,53
Tom,Fullarton,Tom Fullarton,Brisbane Lions,2021,Tom_Fullarton_Brisbane Lions_2021,RUC FWD,128900,128900,128900,149000,164800,164800,164800,164800,164800,164800,164800,164800,164800,164800,164800,164800,164800,164800,179300,204400,230400,266900,258500,38,35,48,40,0,0,0,0,0,0,0,0,0,0,0,0,0,44,79,58,84,26,30
Tom,Green,Tom Green,Greater Western Sydney,2021,Tom_Green_Greater Western Sydney_2021,MID,351400,351400,351400,351400,341800,351500,356000,376100,398400,419600,440700,436200,436200,427900,391100,391100,379500,383900,396900,417100,416800,416800,416800,50,0,64,70,88,59,111,104,71,123,60,0,60,45,0,98,92,70,119,59,0,0,0
Tom,Hawkins,Tom Hawkins,Geelong,2021,Tom_Hawkins_Geelong_2021,FWD,568600,568600,568600,543100,523700,485000,464500,452200,474400,484000,507200,513400,513400,526100,521200,486400,460200,444800,461900,477800,491900,483300,475800,57,134,85,55,79,105,65,149,91,101,126,0,110,58,60,108,70,128,112,77,86,109,100
Tom,Hickey,Tom Hickey,Sydney,2021,Tom_Hickey_Sydney_2021,RUC,261100,261100,261100,332200,381600,421700,421700,448400,462800,486400,492700,492700,512300,516000,516000,520500,513800,514000,513800,511300,502000,493000,493200,123,79,112,115,87,0,110,102,118,84,0,136,96,0,82,112,111,85,103,96,81,107,126
